,p_values,scores
pH3_mean_Q0,4.05322125048e-15,61.6738771348
pH2_mean_Q0,4.05322125048e-15,61.6738771348
pH3_mean_Q1,2.4111244045e-10,40.1014298143
pH2_med_Q1,2.49003123022e-10,40.0385255156
pH3_med_Q1,2.49003123022e-10,40.0385255156
pH3_med_Q0,2.716788192e-10,39.8682856215
pH2_med_Q0,2.716788192e-10,39.8682856215
pH2_mean_Q1,7.30485327348e-10,37.9374748296
pH3_max_Q0,2.24097858852e-08,31.2736750026
pH2_max_Q0,2.24097858852e-08,31.2736750026
pH2_mean_Q2,4.52881716465e-08,29.9086763258
pH3_mean_Q2,1.11256839978e-07,28.1675052659
pH2_first_Q0,1.2293913708e-06,23.530657399
pH3_first_Q0,1.73569301406e-06,22.8674174428
pH3_first_Q1,2.2542102762e-06,22.3652067775
pH2_max_Q2,4.37079736813e-06,21.0949444461
pH3_max_Q2,4.37079736813e-06,21.0949444461
pH3_med_Q2,4.97055259896e-06,20.8486006936
pH2_med_Q2,4.97055259896e-06,20.8486006936
pH2_min_Q2,6.49920924869e-06,20.3352517081
pH3_min_Q2,6.49920924869e-06,20.3352517081
pH2_min_Q3,8.18150139033e-06,19.894976769
pH3_min_Q3,8.18150139033e-06,19.894976769
pH2_min_Q0,1.87303752939e-05,18.314220789
pH3_min_Q0,1.87303752939e-05,18.314220789
pH2_skew_Q0,5.17091836593e-05,16.3843956184
pH3_skew_Q0,5.17091836593e-05,16.3843956184
pH2_min_Q1,8.13526175617e-05,15.5265950248
pH3_min_Q1,8.13526175617e-05,15.5265950248
pH2_first_Q1,0.000114644037832,14.8788024565
pH3_mean_Q3,0.000147920789213,14.3984911114
pH2_mean_Q3,0.000160429043779,14.2456751763
pH2_med_Q3,0.00023323500192,13.5423915645
pH3_med_Q3,0.00023323500192,13.5423915645
pH2_skew_Q2,0.000336949120904,12.8529417399
pH3_skew_Q2,0.000336949120904,12.8529417399
pH2_first_Q2,0.000613615128637,11.7342134335
